Date,Price,Open,High,Low,Change %
8-Jul-19,6.8819,6.8936,6.896,6.8757,-0.17%
5-Jul-19,6.8936,6.8741,6.8939,6.872,0.32%
4-Jul-19,6.8716,6.8761,6.8773,6.8677,-0.14%
3-Jul-19,6.8811,6.8762,6.8929,6.8751,0.12%
2-Jul-19,6.8729,6.8504,6.8834,6.8504,0.31%
1-Jul-19,6.8517,6.8673,6.8673,6.8341,-0.22%
28-Jun-19,6.8668,6.8748,6.8801,6.8595,-0.15%
27-Jun-19,6.8771,6.8785,6.8846,6.8738,-0.04%
26-Jun-19,6.88,6.8876,6.8937,6.8658,0.00%
25-Jun-19,6.8798,6.8715,6.8851,6.8655,0.04%
24-Jun-19,6.877,6.8736,6.8873,6.87,0.10%
21-Jun-19,6.87,6.8524,6.8793,6.8336,0.26%
20-Jun-19,6.852,6.8949,6.896,6.8441,-0.75%
19-Jun-19,6.9036,6.9042,6.9115,6.9024,0.01%
18-Jun-19,6.9032,6.9278,6.933,6.9022,-0.33%
17-Jun-19,6.9258,6.9254,6.9276,6.9201,0.00%
14-Jun-19,6.9255,6.9205,6.9262,6.92,0.06%
13-Jun-19,6.9216,6.9184,6.923,6.9153,0.06%
12-Jun-19,6.9177,6.911,6.9236,6.9095,0.09%
11-Jun-19,6.9114,6.9297,6.9297,6.9075,-0.28%
10-Jun-19,6.931,6.9243,6.9366,6.9243,0.31%
7-Jun-19,6.9097,6.9122,6.9122,6.9097,0.00%
6-Jun-19,6.9097,6.9101,6.9184,6.907,0.01%
5-Jun-19,6.9091,6.9075,6.915,6.9011,0.01%
4-Jun-19,6.9083,6.9034,6.915,6.8978,0.07%
3-Jun-19,6.9037,6.9044,6.9101,6.8978,-0.02%
31-May-19,6.905,6.9027,6.9158,6.8995,0.04%
30-May-19,6.9019,6.9131,6.9156,6.8978,-0.18%
29-May-19,6.9145,6.9104,6.9182,6.9088,0.06%
28-May-19,6.9101,6.8983,6.9158,6.8983,0.18%
27-May-19,6.8979,6.899,6.8994,6.8804,-0.03%
24-May-19,6.9002,6.9085,6.9149,6.8967,-0.15%
23-May-19,6.9105,6.9057,6.9211,6.9057,0.06%
22-May-19,6.9064,6.9008,6.9159,6.8962,0.06%
21-May-19,6.9023,6.9114,6.9179,6.8972,-0.14%
20-May-19,6.9123,6.9007,6.9174,6.9,-0.09%
17-May-19,6.9187,6.8822,6.9187,6.8822,0.51%
16-May-19,6.8838,6.8747,6.8861,6.8731,0.11%
15-May-19,6.8761,6.8754,6.8812,6.864,0.00%
14-May-19,6.876,6.8776,6.8888,6.8642,-0.03%
13-May-19,6.8784,6.824,6.8824,6.824,0.80%
10-May-19,6.824,6.8269,6.8278,6.7951,-0.05%
9-May-19,6.8274,6.7823,6.8307,6.7823,0.66%
8-May-19,6.7828,6.7759,6.785,6.7656,0.09%
7-May-19,6.7769,6.7639,6.781,6.7563,0.18%
6-May-19,6.7645,6.7379,6.801,6.7379,0.44%
3-May-19,6.7346,6.7345,6.7346,6.7325,0.00%
2-May-19,6.7346,6.7348,6.7348,6.7325,0.00%
