Date,Price,Open,High,Low,Change %
5-Nov-19,109.16,108.58,109.25,108.55,0.53%
4-Nov-19,108.58,108.19,108.66,108.17,0.36%
1-Nov-19,108.19,108.06,108.33,107.89,0.15%
31-Oct-19,108.03,108.83,108.91,107.92,-0.74%
30-Oct-19,108.84,108.89,109.3,108.72,-0.05%
29-Oct-19,108.89,108.95,109.08,108.77,-0.06%
28-Oct-19,108.95,108.67,109.05,108.66,0.27%
25-Oct-19,108.66,108.63,108.79,108.51,0.05%
24-Oct-19,108.61,108.67,108.75,108.48,-0.07%
23-Oct-19,108.69,108.5,108.72,108.25,0.19%
22-Oct-19,108.48,108.61,108.73,108.44,-0.12%
21-Oct-19,108.61,108.47,108.67,108.3,0.17%
18-Oct-19,108.43,108.66,108.73,108.38,-0.22%
17-Oct-19,108.67,108.77,108.94,108.47,-0.09%
16-Oct-19,108.77,108.86,108.88,108.57,-0.08%
15-Oct-19,108.86,108.42,108.91,108.16,0.43%
14-Oct-19,108.39,108.36,108.53,108.03,-0.03%
11-Oct-19,108.42,107.98,108.62,107.84,0.42%
10-Oct-19,107.97,107.47,108.03,107.03,0.47%
9-Oct-19,107.47,107.08,107.64,106.94,0.36%
8-Oct-19,107.08,107.3,107.45,106.81,-0.21%
7-Oct-19,107.3,106.97,107.47,106.56,0.34%
4-Oct-19,106.94,106.92,107.14,106.58,0.02%
3-Oct-19,106.92,107.19,107.31,106.48,-0.24%
2-Oct-19,107.18,107.73,107.9,107.04,-0.53%
1-Oct-19,107.75,108.08,108.47,107.62,-0.31%
30-Sep-19,108.08,107.92,108.19,107.75,0.13%
27-Sep-19,107.94,107.83,108.19,107.66,0.10%
26-Sep-19,107.83,107.78,107.97,107.42,0.05%
25-Sep-19,107.78,107.06,107.89,107,0.67%
24-Sep-19,107.06,107.55,107.8,106.97,-0.46%
23-Sep-19,107.56,107.53,107.78,107.31,0.00%
20-Sep-19,107.56,108.02,108.09,107.53,-0.43%
19-Sep-19,108.02,108.45,108.47,107.78,-0.40%
18-Sep-19,108.45,108.12,108.48,108.08,0.29%
17-Sep-19,108.14,108.11,108.38,108.03,0.00%
16-Sep-19,108.14,107.67,108.17,107.48,0.06%
13-Sep-19,108.08,108.09,108.28,107.92,-0.03%
12-Sep-19,108.11,107.83,108.19,107.52,0.26%
11-Sep-19,107.83,107.55,107.86,107.5,0.26%
10-Sep-19,107.55,107.25,107.59,107.19,0.28%
9-Sep-19,107.25,106.83,107.28,106.77,0.31%
6-Sep-19,106.92,106.95,107.11,106.62,0.00%
5-Sep-19,106.92,106.36,107.22,106.31,0.50%
4-Sep-19,106.39,105.94,106.44,105.83,0.42%
3-Sep-19,105.94,106.23,106.4,105.74,-0.26%
2-Sep-19,106.22,106.25,106.41,105.92,-0.08%
30-Aug-19,106.31,106.5,106.56,106.11,-0.20%
29-Aug-19,106.52,106.12,106.69,105.83,0.38%
28-Aug-19,106.12,105.75,106.23,105.66,0.37%
27-Aug-19,105.73,106.16,106.17,105.59,-0.39%
26-Aug-19,106.14,105.14,106.41,104.45,0.69%
23-Aug-19,105.41,106.44,106.75,105.27,-0.97%
22-Aug-19,106.44,106.61,106.66,106.25,-0.17%
21-Aug-19,106.62,106.22,106.66,106.22,0.37%
20-Aug-19,106.23,106.63,106.69,106.17,-0.38%
19-Aug-19,106.64,106.34,106.7,106.25,0.24%
16-Aug-19,106.38,106.12,106.5,106.03,0.25%
15-Aug-19,106.12,105.92,106.78,105.7,0.20%
14-Aug-19,105.91,106.75,106.78,105.66,-0.79%
13-Aug-19,106.75,105.31,106.98,105.06,1.37%
12-Aug-19,105.31,105.58,105.7,105.05,-0.34%
9-Aug-19,105.67,106.08,106.12,105.27,-0.39%
8-Aug-19,106.08,106.28,106.31,105.89,-0.19%
7-Aug-19,106.28,106.48,106.48,105.5,-0.19%
6-Aug-19,106.48,105.94,107.08,105.53,0.50%
5-Aug-19,105.95,106.59,106.69,105.78,-0.60%
2-Aug-19,106.59,107.34,107.58,106.5,-0.70%
1-Aug-19,107.34,108.8,109.33,107.27,-1.30%
31-Jul-19,108.75,108.61,109,108.5,0.13%
30-Jul-19,108.61,108.78,108.95,108.45,-0.16%
29-Jul-19,108.78,108.69,108.91,108.42,0.10%
26-Jul-19,108.67,108.64,108.83,108.56,0.03%
25-Jul-19,108.64,108.19,108.77,108.03,0.42%
24-Jul-19,108.19,108.22,108.28,107.94,-0.03%
23-Jul-19,108.22,107.84,108.3,107.83,0.32%
22-Jul-19,107.88,107.8,108.08,107.7,0.15%
19-Jul-19,107.72,107.3,107.97,107.22,0.39%
18-Jul-19,107.3,107.94,108.02,107.2,-0.59%
17-Jul-19,107.94,108.25,108.33,107.94,-0.28%
16-Jul-19,108.24,107.92,108.39,107.83,0.30%
15-Jul-19,107.92,107.88,108.11,107.8,0.01%
12-Jul-19,107.91,108.48,108.61,107.8,-0.54%
11-Jul-19,108.5,108.47,108.53,107.86,0.03%
10-Jul-19,108.47,108.84,108.98,108.33,-0.36%
9-Jul-19,108.86,108.72,108.97,108.67,0.13%
8-Jul-19,108.72,108.44,108.81,108.28,0.23%
5-Jul-19,108.47,107.81,108.64,107.78,0.61%
4-Jul-19,107.81,107.8,107.86,107.71,-0.02%
3-Jul-19,107.83,107.89,107.93,107.53,-0.06%
2-Jul-19,107.89,108.44,108.48,107.77,-0.51%
1-Jul-19,108.44,108.11,108.55,108.11,0.51%
28-Jun-19,107.89,107.8,107.94,107.56,0.08%
27-Jun-19,107.8,107.8,108.17,107.64,0.02%
26-Jun-19,107.78,107.19,107.86,107.09,0.55%
25-Jun-19,107.19,107.31,107.42,106.78,-0.10%
24-Jun-19,107.3,107.41,107.55,107.25,-0.01%
21-Jun-19,107.31,107.31,107.75,107.06,0.00%
20-Jun-19,107.31,108.09,108.14,107.22,-0.74%
19-Jun-19,108.11,108.45,108.62,107.91,-0.31%
18-Jun-19,108.45,108.55,108.69,108.06,-0.10%
17-Jun-19,108.56,108.44,108.72,108.41,0.00%
14-Jun-19,108.56,108.38,108.59,108.16,0.16%
13-Jun-19,108.39,108.52,108.55,108.17,-0.10%
12-Jun-19,108.5,108.52,108.58,108.22,-0.02%
11-Jun-19,108.52,108.45,108.81,108.36,0.07%
10-Jun-19,108.44,108.56,108.72,108.33,0.23%
7-Jun-19,108.19,108.42,108.62,107.89,-0.21%
6-Jun-19,108.42,108.47,108.58,108.03,-0.05%
5-Jun-19,108.47,108.14,108.5,107.81,0.31%
4-Jun-19,108.14,108.08,108.36,107.83,0.06%
3-Jun-19,108.08,108.38,108.45,107.89,-0.18%
31-May-19,108.28,109.62,109.64,108.28,-1.21%
30-May-19,109.61,109.61,109.94,109.47,0.02%
29-May-19,109.59,109.38,109.7,109.14,0.19%
28-May-19,109.38,109.5,109.64,109.22,-0.13%
27-May-19,109.52,109.31,109.59,109.28,0.19%
24-May-19,109.31,109.61,109.75,109.28,-0.27%
23-May-19,109.61,110.36,110.38,109.47,-0.68%
22-May-19,110.36,110.48,110.64,110.25,-0.13%
21-May-19,110.5,110.06,110.69,110.03,0.40%
20-May-19,110.06,110.14,110.33,109.81,-0.02%
17-May-19,110.08,109.86,110.19,109.5,0.20%
16-May-19,109.86,109.61,109.97,109.33,0.25%
15-May-19,109.59,109.61,109.72,109.16,-0.02%
14-May-19,109.61,109.3,109.78,109.14,0.27%
13-May-19,109.31,109.75,109.84,109.02,-0.57%
10-May-19,109.94,109.75,110.05,109.47,0.16%
9-May-19,109.76,110.1,110.13,109.47,-0.32%
8-May-19,110.11,110.25,110.31,109.89,-0.13%
7-May-19,110.25,110.78,110.86,110.17,-0.48%
6-May-19,110.78,110.62,110.99,110.28,-0.30%
3-May-19,111.11,111.52,111.69,111.06,-0.37%
2-May-19,111.52,111.39,111.67,111.36,0.12%
1-May-19,111.39,111.44,111.62,111.05,-0.03%
30-Apr-19,111.42,111.66,111.7,111.23,-0.20%
29-Apr-19,111.64,111.61,111.91,111.53,0.04%
26-Apr-19,111.59,111.64,112.03,111.42,-0.04%
25-Apr-19,111.64,112.19,112.25,111.39,-0.49%
24-Apr-19,112.19,111.86,112.41,111.69,0.30%
23-Apr-19,111.86,111.94,112.03,111.64,-0.07%
22-Apr-19,111.94,111.93,111.99,111.85,0.02%
19-Apr-19,111.92,111.97,112.01,111.88,-0.04%
18-Apr-19,111.97,112.06,112.08,111.77,-0.08%
17-Apr-19,112.06,112.03,112.17,111.92,0.05%
16-Apr-19,112,112.05,112.06,111.84,-0.03%
15-Apr-19,112.03,112,112.09,111.88,0.00%
12-Apr-19,112.03,111.66,112.09,111.58,0.32%
11-Apr-19,111.67,111.03,111.7,110.91,0.59%
10-Apr-19,111.02,111.14,111.28,110.84,-0.11%
9-Apr-19,111.14,111.49,111.59,110.98,-0.30%
8-Apr-19,111.48,111.72,111.8,111.28,-0.22%
5-Apr-19,111.73,111.64,111.81,111.58,0.05%
4-Apr-19,111.67,111.48,111.69,111.33,0.17%
3-Apr-19,111.48,111.33,111.58,111.2,0.13%
2-Apr-19,111.33,111.34,111.47,111.25,-0.03%
1-Apr-19,111.36,110.81,111.45,110.81,0.45%
29-Mar-19,110.86,110.62,110.95,110.53,0.20%
28-Mar-19,110.64,110.52,110.83,110.03,0.11%
27-Mar-19,110.52,110.64,110.7,110.22,-0.11%
26-Mar-19,110.64,109.97,110.69,109.94,0.61%
25-Mar-19,109.97,109.86,110.25,109.72,0.05%
22-Mar-19,109.92,110.81,110.91,109.75,-0.80%
21-Mar-19,110.81,110.72,110.97,110.3,0.11%
20-Mar-19,110.69,111.41,111.69,110.53,-0.63%
19-Mar-19,111.39,111.44,111.48,111.16,-0.03%
18-Mar-19,111.42,111.45,111.62,111.28,-0.04%
15-Mar-19,111.47,111.7,111.91,111.39,-0.22%
14-Mar-19,111.72,111.16,111.84,111.14,0.49%
13-Mar-19,111.17,111.36,111.47,111,-0.17%
12-Mar-19,111.36,111.2,111.47,111.11,0.14%
11-Mar-19,111.2,111.14,111.31,110.88,0.03%
8-Mar-19,111.17,111.58,111.66,110.78,-0.38%
7-Mar-19,111.59,111.77,111.86,111.48,-0.16%
6-Mar-19,111.77,111.89,111.94,111.61,-0.11%
5-Mar-19,111.89,111.72,112.12,111.7,0.13%
4-Mar-19,111.75,111.77,112.02,111.64,-0.15%
1-Mar-19,111.92,111.39,112.08,111.33,0.48%
28-Feb-19,111.39,111,111.5,110.66,0.35%
27-Feb-19,111,110.58,111.08,110.36,0.38%
26-Feb-19,110.58,111.06,111.09,110.42,-0.43%
25-Feb-19,111.06,110.67,111.23,110.56,0.33%
22-Feb-19,110.69,110.69,110.92,110.56,-0.01%
21-Feb-19,110.7,110.86,110.89,110.58,-0.14%
20-Feb-19,110.86,110.63,110.95,110.52,0.22%
19-Feb-19,110.62,110.61,110.83,110.45,0.00%
18-Feb-19,110.62,110.45,110.67,110.39,0.11%
15-Feb-19,110.5,110.48,110.66,110.25,0.02%
14-Feb-19,110.48,111.01,111.13,110.45,-0.47%
13-Feb-19,111,110.5,111.06,110.42,0.47%
12-Feb-19,110.48,110.36,110.64,110.33,0.09%
11-Feb-19,110.38,109.83,110.47,109.69,0.59%
8-Feb-19,109.73,109.81,109.91,109.64,-0.07%
7-Feb-19,109.81,109.97,110.09,109.61,-0.15%
6-Feb-19,109.97,109.97,110.06,109.55,0.00%
5-Feb-19,109.97,109.89,110.03,109.78,0.07%
4-Feb-19,109.89,109.5,110.16,109.43,0.36%
1-Feb-19,109.5,108.89,109.58,108.72,0.57%
31-Jan-19,108.88,109.04,109.08,108.49,-0.14%
30-Jan-19,109.03,109.39,109.75,108.81,-0.33%
29-Jan-19,109.39,109.36,109.55,109.14,0.03%
28-Jan-19,109.36,109.53,109.61,109.16,-0.17%
25-Jan-19,109.55,109.64,109.97,109.45,-0.08%
24-Jan-19,109.64,109.58,109.81,109.42,0.04%
23-Jan-19,109.6,109.37,110,109.32,0.20%
22-Jan-19,109.38,109.67,109.7,109.14,-0.26%
21-Jan-19,109.67,109.75,109.77,109.47,-0.10%
18-Jan-19,109.78,109.27,109.89,109.06,0.49%
17-Jan-19,109.24,109.09,109.4,108.68,0.14%
16-Jan-19,109.09,108.69,109.2,108.38,0.39%
15-Jan-19,108.67,108.16,108.77,108.13,0.46%
14-Jan-19,108.17,108.47,108.56,107.97,-0.35%
11-Jan-19,108.55,108.43,108.6,108.14,0.12%
10-Jan-19,108.42,108.16,108.52,107.77,0.23%
9-Jan-19,108.17,108.75,109,107.97,-0.53%
8-Jan-19,108.75,108.72,109.09,108.44,0.03%
7-Jan-19,108.72,108.55,108.75,108.03,0.18%
4-Jan-19,108.53,107.67,108.59,107.51,0.80%
3-Jan-19,107.67,108.89,108.92,104.97,-1.11%
2-Jan-19,108.88,109.67,109.73,108.71,-0.77%
1-Jan-19,109.72,109.57,109.79,109.57,0.13%
31-Dec-18,109.58,110.44,110.48,109.55,-0.63%
28-Dec-18,110.28,110.97,111.06,110.14,-0.65%
27-Dec-18,111,111.38,111.39,110.45,-0.32%
26-Dec-18,111.36,110.31,111.42,110.14,0.98%
25-Dec-18,110.28,110.44,110.47,110,-0.15%
24-Dec-18,110.45,110.95,111.21,110.27,-0.69%
21-Dec-18,111.22,111.3,111.47,110.94,-0.05%
20-Dec-18,111.28,112.47,112.61,110.81,-1.07%
19-Dec-18,112.48,112.52,112.66,112.09,-0.04%
18-Dec-18,112.53,112.83,112.88,112.25,-0.27%
17-Dec-18,112.83,113.32,113.53,112.68,-0.49%
14-Dec-18,113.39,113.64,113.69,113.22,-0.22%
13-Dec-18,113.64,113.28,113.72,113.2,0.32%
12-Dec-18,113.28,113.39,113.53,113.14,-0.10%
11-Dec-18,113.39,113.33,113.47,113,0.04%
10-Dec-18,113.34,112.7,113.38,112.25,0.54%
7-Dec-18,112.73,112.67,112.94,112.55,0.05%
6-Dec-18,112.67,113.19,113.22,112.22,-0.46%
5-Dec-18,113.19,112.77,113.25,112.64,0.36%
4-Dec-18,112.78,113.66,113.67,112.58,-0.78%
3-Dec-18,113.67,113.47,113.86,113.38,0.18%
30-Nov-18,113.47,113.5,113.72,113.33,-0.01%
29-Nov-18,113.48,113.69,113.69,113.19,-0.18%
28-Nov-18,113.69,113.78,114.03,113.44,-0.08%
27-Nov-18,113.78,113.58,113.85,113.41,0.17%
26-Nov-18,113.59,112.94,113.64,112.86,0.57%
23-Nov-18,112.95,112.94,113.02,112.64,0.01%
22-Nov-18,112.94,113.05,113.14,112.86,-0.11%
21-Nov-18,113.06,112.77,113.14,112.61,0.26%
20-Nov-18,112.77,112.56,112.84,112.31,0.19%
19-Nov-18,112.56,112.83,112.89,112.42,-0.24%
16-Nov-18,112.83,113.64,113.66,112.64,-0.71%
15-Nov-18,113.64,113.62,113.72,113.11,0.02%
14-Nov-18,113.62,113.81,114.02,113.3,-0.17%
13-Nov-18,113.81,113.83,114.15,113.57,-0.02%
12-Nov-18,113.83,113.83,114.2,113.66,0.00%
9-Nov-18,113.83,114.06,114.09,113.64,-0.20%
8-Nov-18,114.06,113.52,114.08,113.47,0.47%
7-Nov-18,113.53,113.44,113.83,112.94,0.08%
6-Nov-18,113.44,113.2,113.5,113.11,0.22%
5-Nov-18,113.19,113.19,113.34,113.06,-0.01%
2-Nov-18,113.2,112.72,113.33,112.58,0.43%
1-Nov-18,112.72,112.94,113,112.61,-0.19%
31-Oct-18,112.94,113.13,113.39,112.8,-0.13%
30-Oct-18,113.09,112.38,113.11,112.28,0.63%
29-Oct-18,112.38,111.92,112.56,111.78,0.42%
26-Oct-18,111.91,112.39,112.45,111.38,-0.45%
25-Oct-18,112.42,112.25,112.69,111.83,0.14%
24-Oct-18,112.26,112.43,112.75,112.09,-0.16%
23-Oct-18,112.44,112.83,112.86,111.94,-0.35%
22-Oct-18,112.83,112.5,112.91,112.36,0.25%
19-Oct-18,112.55,112.21,112.65,112.12,0.32%
18-Oct-18,112.19,112.64,112.73,111.97,-0.41%
17-Oct-18,112.65,112.26,112.68,111.99,0.36%
16-Oct-18,112.25,111.77,112.33,111.72,0.42%
15-Oct-18,111.78,112.11,112.27,111.62,-0.37%
12-Oct-18,112.2,112.17,112.5,111.89,0.03%
11-Oct-18,112.17,112.27,112.53,111.83,-0.10%
10-Oct-18,112.28,112.95,113.28,112.23,-0.59%
9-Oct-18,112.95,113.22,113.41,112.88,-0.25%
8-Oct-18,113.23,113.69,113.94,112.81,-0.43%
5-Oct-18,113.72,113.9,114.11,113.55,-0.18%
4-Oct-18,113.92,114.55,114.56,113.64,-0.53%
3-Oct-18,114.53,113.64,114.55,113.52,0.76%
2-Oct-18,113.67,113.92,114.02,113.51,-0.22%
1-Oct-18,113.92,113.69,114.08,113.67,0.20%
28-Sep-18,113.69,113.38,113.72,113.31,0.27%
27-Sep-18,113.38,112.75,113.47,112.55,0.58%
26-Sep-18,112.73,112.97,113.14,112.62,-0.21%
25-Sep-18,112.97,112.8,112.97,112.72,0.14%
24-Sep-18,112.81,112.58,112.84,112.28,0.20%
21-Sep-18,112.58,112.48,112.89,112.42,0.07%
20-Sep-18,112.5,112.28,112.59,112.03,0.20%
19-Sep-18,112.28,112.36,112.45,112.17,-0.07%
18-Sep-18,112.36,111.86,112.39,111.67,0.46%
17-Sep-18,111.84,111.95,112.14,111.75,-0.20%
14-Sep-18,112.06,111.92,112.17,111.75,0.13%
13-Sep-18,111.92,111.25,112,111.14,0.58%
12-Sep-18,111.27,111.64,111.66,111.12,-0.33%
11-Sep-18,111.64,111.12,111.66,111.06,0.47%
10-Sep-18,111.12,110.97,111.25,110.86,0.04%
7-Sep-18,111.08,110.77,111.27,110.39,0.30%
6-Sep-18,110.75,111.53,111.55,110.53,-0.70%
5-Sep-18,111.53,111.45,111.76,111.37,0.07%
4-Sep-18,111.45,111.06,111.55,110.91,0.33%
3-Sep-18,111.08,111.08,111.19,110.85,0.04%
31-Aug-18,111.04,110.99,111.15,110.68,0.05%
30-Aug-18,110.98,111.69,111.78,110.95,-0.62%
29-Aug-18,111.67,111.2,111.84,111.11,0.43%
28-Aug-18,111.19,111.08,111.36,110.95,0.10%
27-Aug-18,111.08,111.25,111.36,110.92,-0.13%
24-Aug-18,111.23,111.28,111.5,111.11,-0.06%
23-Aug-18,111.3,110.55,111.33,110.52,0.67%
22-Aug-18,110.56,110.3,110.62,110.03,0.23%
21-Aug-18,110.31,110.06,110.56,109.78,0.22%
20-Aug-18,110.07,110.52,110.69,110.02,-0.39%
17-Aug-18,110.5,110.89,111.06,110.31,-0.35%
16-Aug-18,110.89,110.75,111.12,110.47,0.13%
15-Aug-18,110.75,111.14,111.44,110.42,-0.37%
14-Aug-18,111.16,110.69,111.33,110.59,0.39%
13-Aug-18,110.73,110.94,110.95,110.12,-0.19%
10-Aug-18,110.94,111.09,111.18,110.5,-0.13%
9-Aug-18,111.08,110.98,111.19,110.69,0.09%
8-Aug-18,110.98,111.39,111.44,110.83,-0.37%
7-Aug-18,111.39,111.41,111.48,111,-0.02%
6-Aug-18,111.41,111.19,111.53,111.14,0.13%
3-Aug-18,111.27,111.66,111.83,111.08,-0.35%
2-Aug-18,111.66,111.7,111.75,111.31,-0.05%
1-Aug-18,111.72,111.88,112.16,111.39,-0.14%
31-Jul-18,111.88,111.05,111.97,110.78,0.73%
30-Jul-18,111.07,111.04,111.17,110.89,0.02%
27-Jul-18,111.05,111.22,111.25,110.8,-0.15%
26-Jul-18,111.22,110.97,111.25,110.58,0.23%
25-Jul-18,110.97,111.2,111.39,110.66,-0.21%
24-Jul-18,111.2,111.35,111.52,110.96,-0.13%
23-Jul-18,111.34,111.5,111.56,110.75,-0.06%
20-Jul-18,111.41,112.46,112.63,111.39,-0.94%
19-Jul-18,112.47,112.86,113.17,112.06,-0.35%
18-Jul-18,112.86,112.89,113.16,112.72,-0.01%
17-Jul-18,112.87,112.29,112.94,112.22,0.51%
16-Jul-18,112.3,112.36,112.56,112.19,-0.07%
13-Jul-18,112.38,112.56,112.81,112.28,-0.16%
12-Jul-18,112.56,112.02,112.64,111.91,0.48%
11-Jul-18,112.02,110.98,112.19,110.77,0.92%
10-Jul-18,111,110.86,111.36,110.8,0.14%
9-Jul-18,110.85,110.5,110.91,110.31,0.35%
6-Jul-18,110.46,110.62,110.79,110.36,-0.14%
5-Jul-18,110.62,110.47,110.72,110.3,0.14%
4-Jul-18,110.47,110.61,110.64,110.28,-0.11%
3-Jul-18,110.59,110.91,111.14,110.5,-0.27%
2-Jul-18,110.89,110.67,111.06,110.48,0.19%
29-Jun-18,110.68,110.49,110.95,110.39,0.16%
28-Jun-18,110.5,110.25,110.66,109.97,0.22%
27-Jun-18,110.26,110.06,110.49,109.68,0.18%
26-Jun-18,110.06,109.75,110.22,109.36,0.26%
25-Jun-18,109.78,109.92,110.03,109.36,-0.17%
22-Jun-18,109.97,109.98,110.22,109.79,-0.03%
21-Jun-18,110,110.36,110.77,109.83,-0.33%
20-Jun-18,110.36,110.06,110.45,109.85,0.27%
19-Jun-18,110.06,110.56,110.58,109.55,-0.44%
18-Jun-18,110.55,110.67,110.75,110.3,-0.11%
15-Jun-18,110.67,110.62,110.92,110.39,0.04%
14-Jun-18,110.63,110.33,110.7,109.9,0.26%
13-Jun-18,110.34,110.38,110.86,110.26,-0.04%
12-Jun-18,110.38,110.03,110.5,109.98,0.32%
11-Jun-18,110.03,109.47,110.12,109.22,0.44%
8-Jun-18,109.55,109.71,109.87,109.19,-0.14%
7-Jun-18,109.7,110.19,110.22,109.48,-0.43%
6-Jun-18,110.17,109.8,110.28,109.78,0.34%
5-Jun-18,109.8,109.83,110.02,109.47,-0.01%
4-Jun-18,109.81,109.5,109.86,109.38,0.24%
1-Jun-18,109.55,108.81,109.75,108.72,0.67%
31-May-18,108.82,108.9,109.01,108.38,-0.08%
30-May-18,108.91,108.75,109.08,108.33,0.13%
29-May-18,108.77,109.42,109.47,108.11,-0.59%
28-May-18,109.42,109.56,109.83,109.23,0.03%
25-May-18,109.39,109.25,109.75,109.11,0.13%
24-May-18,109.25,110.08,110.11,108.95,-0.75%
23-May-18,110.08,110.9,110.93,109.54,-0.73%
22-May-18,110.89,111.06,111.19,110.8,-0.15%
21-May-18,111.06,110.72,111.41,110.72,0.28%
18-May-18,110.75,110.78,111.08,110.61,-0.02%
17-May-18,110.77,110.39,110.86,110.06,0.34%
16-May-18,110.39,110.34,110.41,110.02,0.04%
15-May-18,110.35,109.66,110.46,109.65,0.63%
14-May-18,109.66,109.39,109.67,109.2,0.25%
11-May-18,109.39,109.41,109.58,109.14,0.00%
10-May-18,109.39,109.75,110.03,109.31,-0.33%
9-May-18,109.75,109.11,109.83,108.97,0.58%
8-May-18,109.12,109.08,109.36,108.83,0.03%
7-May-18,109.09,109.12,109.41,108.75,-0.03%
4-May-18,109.12,109.19,109.28,108.64,-0.06%
3-May-18,109.19,109.83,109.89,108.94,-0.59%
2-May-18,109.84,109.86,110.03,109.58,-0.02%
1-May-18,109.86,109.34,109.89,109.23,0.48%
30-Apr-18,109.33,109,109.45,109,0.26%
27-Apr-18,109.05,109.31,109.55,108.97,-0.24%
26-Apr-18,109.31,109.42,109.47,109.06,-0.10%
25-Apr-18,109.42,108.81,109.47,108.8,0.55%
24-Apr-18,108.82,108.7,109.2,108.54,0.10%
23-Apr-18,108.71,107.63,108.76,107.63,0.97%
20-Apr-18,107.67,107.38,107.86,107.36,0.27%
19-Apr-18,107.38,107.23,107.53,107.17,0.14%
18-Apr-18,107.23,106.98,107.39,106.98,0.21%
17-Apr-18,107,107.12,107.22,106.86,-0.10%
16-Apr-18,107.11,107.38,107.62,107.03,-0.21%
13-Apr-18,107.34,107.33,107.78,107.19,0.01%
12-Apr-18,107.33,106.8,107.44,106.69,0.50%
11-Apr-18,106.8,107.2,107.25,106.64,-0.37%
10-Apr-18,107.2,106.81,107.41,106.61,0.40%
9-Apr-18,106.77,106.92,107.22,106.61,-0.15%
6-Apr-18,106.93,107.39,107.47,106.78,-0.42%
5-Apr-18,107.38,106.77,107.5,106.71,0.56%
4-Apr-18,106.78,106.61,106.85,105.98,0.16%
3-Apr-18,106.61,105.89,106.67,105.69,0.68%
2-Apr-18,105.89,106.25,106.45,105.66,-0.37%
30-Mar-18,106.28,106.42,106.55,106.11,-0.14%
29-Mar-18,106.43,106.85,106.93,106.25,-0.40%
28-Mar-18,106.86,105.33,107.02,105.31,1.44%
27-Mar-18,105.34,105.41,105.92,105.33,-0.07%
26-Mar-18,105.41,104.73,105.49,104.56,0.64%
23-Mar-18,104.74,105.29,105.36,104.64,-0.51%
22-Mar-18,105.28,106.06,106.09,105.25,-0.74%
21-Mar-18,106.06,106.53,106.64,105.88,-0.44%
20-Mar-18,106.53,106.08,106.61,105.92,0.41%
19-Mar-18,106.09,105.95,106.31,105.67,0.07%
16-Mar-18,106.02,106.34,106.39,105.61,-0.30%
